X,Unnamed..0,Hotel_Name,Review_Text,Posted_Date,Rating,Average_Rating,Num_of_Ratings,Helpfulness,is_photo,review_title,hotel_grade,employee_friendliness_score,facility_score,cleanliness_score,comfort_score,value_for_money_score,location_score,Crawled_date,title_length,text_length,time_lapsed,Deviation.of.star.ratings,FOG.Index,Flesch.Reading.Ease,Depth,Breadth,sentiment_score_continuous,sentiment_score_discrete
0,0,tavistock,We have stayed here often and it is ideal Location great for walking to and from kings Cross or getting the tube from Russell Square Plenty of places to eat nearby,2024-06-12,9.0,7.7,5932,0,0,Will continue to stay here whenever we visit London,3,8.7,7.6,8.2,8.0,7.5,9.1,2024-12-02,9,31,173,1.3,13.69,65.39,3.30524954999894,0.0183397260656376,4.713,5
1,1,stgileshotel,"Its in a very convenient location, my mom whos in her early 60s and I first time in London and we loved this hotel, staff are super friendly and helpfulWe had to wait the elevator for sometimes but it didnt take long so not a big issue",2024-11-27,10.0,7.0,14989,0,0,Cozy and comfortable,3,8.1,6.9,7.3,7.3,7.0,9.4,2024-12-02,3,47,5,3.0,22.2,40.69,2.85289839256362,0.407228794832759,4.677,5
2,2,montanahotel,The staff were friendlyThe very small bathroom,2024-05-30,6.0,7.8,6248,0,0,We were on the 3rd floor  were not told prior to booking in the lift did not work The bathroom was very small amp,3,9.0,7.7,8.2,8.2,8.0,9.4,2024-12-16,24,7,200,1.8,2.8,89.75,3.30818786013304,0.015121112419484,3.896,4
3,3,z-trafalgar,"Good location, was a 10 minute walk from the theatre 
Clean, functional  certainly adequate for one night
Staff were very helpful and friendly, we were made to feel like nothing was too much troubleNA",2024-09-29,8.0,8.4,13923,0,0,Good functional hotel in great location,3,9.1,8.4,8.7,8.7,8.2,9.7,2024-12-02,6,34,64,0.4,18.31,53.89,3.3075223654101,0.0146338329664489,4.413,4
4,4,blakemore,You hear a lot of noise from the other room doors and rooms,2023-11-10,7.0,8.3,12340,0,1,Great stay in a clean and tidy hotel,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,8,13,388,1.3,5.2,100.58,3.24459107729116,0.053563200744026,3.68,4
5,5,express-hammersmith,"Great location, 2 underground stations in a walking distance 7 minutes direct connections to all most popular London atractions
Great pricevalue relationship
Room was cleaned every dayLack of storage space in the room family room is relatively small and because there is no cabinet or even drawer it was difficult to keep it tidy",2023-02-19,8.0,8.0,8003,0,0,Very good,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,2,54,652,0.0,27.53,16.67,3.29913434510393,0.0209505038447317,4.174,4
6,6,safestay,the location was excellent right by lots of restaurants and relatively close to the city centerit was completely filthy trash everywhere and the bathrooms were not well kept,2022-07-10,3.0,7.1,7703,0,0,i spent as little time as possible at the hostel,4,7.5,7.3,7.5,7.4,7.7,8.2,2024-12-02,10,28,876,4.1,18.34,51.52,3.2879483943636,0.0354765085351529,1.711,1
7,7,alexandra-hotel,"The location, centrally located
Very clean rooms and facilitiesBed was uncomfortable, room was uncharacteristically warm for November and heating wasnt on, not a lot of breakfast options Street noise",2023-11-18,7.0,7.0,6404,0,0,Good,3,7.5,6.9,7.4,7.3,7.5,9.0,2024-12-02,1,29,380,0.0,19.88,16.66,3.28330222412143,0.0428058416775012,3.669,4
8,8,express-hammersmith,Thanks Menino for your efficient help,2024-10-16,8.0,8.0,8005,0,0,Very good,3,8.6,8.0,8.3,8.1,7.9,8.6,2024-12-02,2,6,47,0.0,9.07,73.85,3.29058226066722,0.0154806173511494,4.57,5
9,9,crestfieldhotel,The location was perfect for us as we had an early eurostar train to catch so an easy short walk to the stationIt was all good for a short break,2022-05-08,9.0,7.8,6515,0,0,I would come to this hotel again,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,7,30,939,1.2,14.67,74.87,3.31037028137412,0.0059950781073366,4.389,4
10,10,thistletower,"Comfortable bed, like sleeping on a cloud Very clean Location was fantastic Im not one to complain, but at checkin, I really struggled to understand the desk clerk because of the heavy accent The same was true for the breakfast staff the next morningvery, very difficult to understand 
 I ordered a mediumrare steak for my dinner, but it was quite tough For 26, I would expect a highend hotel to serve a nice steak It may have been a oneoff, but that was my experience",2022-10-16,7.0,7.7,20956,1,0,Perfect location with beds like clouds,4,8.4,7.6,8.1,8.2,7.4,9.5,2024-12-02,6,85,778,0.7,36.82,2.12,3.30592629078284,0.002693951966962,4.039,4
11,11,windsorhousehotel,Bed was super comfortable and the bathroom was lovelyLighting was confusing,2022-04-22,8.0,8.0,6335,0,0,Very good,4,8.2,8.1,8.5,8.6,7.7,9.1,2024-12-02,2,11,955,0.0,15.31,43.39,3.30545060618305,0.0186705159341793,4.252,4
12,12,zedwell-trocaderor,Exactly what it looks like in photosClub noise heard nearer the lower floors Defintely ask for a room nearer the top of the building,2023-05-11,7.0,7.4,39497,0,0,Good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02,1,24,571,0.4,14.6,64.04,3.25466659200209,0.0452498106388284,4.146,4
13,13,crestfieldhotel,"Convenience for St Pancras  early EurostarTiny tiny rooms, but did the job",2024-05-31,8.0,7.8,6515,0,0,Perfectly located for an early start on Eurostar,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,8,12,185,0.2,8.13,76.22,3.30962263688705,0.0029910141700931,4.148,4
14,14,blakemore,The property was wellmaintained and very clean the room was as described and well appointed We had daily housekeeping and dining room and bar were comfortable and relaxingOur room wouldnt cool when we first arrived but that was quickly corrected by staff Other than that I have nothing bad to say about the hotel,2024-10-24,9.0,8.3,12340,0,0,We would definitely stay here again and would certainly recommend it to friends and family traveling to London,4,8.7,8.3,8.7,8.8,8.1,8.9,2024-12-02,18,54,39,0.699999999999999,26.79,33.59,3.23570498447071,0.0615349850036995,4.601,5
15,15,lancaster-gate,"LocationFood, Bed, Staff",2022-04-25,5.0,7.7,14445,0,1,"uncomfortable bed, dinner service was shocking I had finished my meal but my disabled mum was still eating, they come ov",3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02,21,3,952,2.7,14.53,34.59,3.30953191748604,0.0116769213768921,4.145,4
16,16,royal-national,We have been several times and its comfortable,2023-11-21,9.0,7.5,9767,0,1,We loved it good area,3,8.3,7.5,8.0,7.9,7.3,8.9,2024-12-02,5,8,377,1.5,8.2,71.82,3.30806763380204,0.0126851471110912,4.451,4
17,17,crestfieldhotel,"Comfy, friendly staffA lift is needed for upstairs room and to add bfast even if grab to go",2023-12-17,7.0,7.8,6515,0,0,Value for money,2,8.6,7.6,8.4,8.1,7.9,9.4,2024-12-02,3,18,351,0.8,7.2,87.05,3.30259416441482,0.0234375304690505,4.271,4
18,18,marlin-waterloo,"I have never stayed in a terrible place before there is always a first time No parking place in front of hotel, lousy welcome, dirty receltion area, lift filthy, bad smell on 4th floor like entering the stinky kitchen of a chinese restaurant the bed was uncomfortable, bathroom semi clean, they clean the room every second day Gosh this is a disasterous place I cant believe I caused this on myself and my familyJust about everything",2022-11-20,1.0,8.1,10695,0,0,Disaster Catastrophy,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02,2,76,743,7.1,33.03,11.26,3.29269433624488,0.0207168105469793,1.02,1
19,19,park-plaza-county-hall,"Very good hotel, spacious room with a great view Look forward to staying here again in future",2024-11-11,10.0,8.6,11045,0,0,Exceptional,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,1,17,21,1.4,6.8,79.6,3.28595317846239,0.0328759616799813,4.684,5
20,20,montcalm-chilworth-townhouse,Everything was perfect cant fault anything and the staff were amazing and very helpful Would 100 stay againNothing,2023-08-04,10.0,7.7,9205,0,0,Perfect location and great hotel and staff,5,8.6,7.8,8.2,8.3,7.4,9.1,2024-12-02,7,18,486,2.3,9.42,70.13,3.31636213809992,0.0057997629369899,4.831,5
21,21,park-plaza-county-hall,The front desk staff were very nice and great with the kids The kids got little activity packs on arrival and got to choose out of a little surprise box which they loved Very clean and large rooms,2024-06-06,10.0,8.6,11045,0,0,Exceptional,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,1,38,179,1.4,16.25,66.75,3.28744308495219,0.0183511796413084,4.518,5
22,22,park-plaza-county-hall,"Great location, excellent attentive staff and great customer careNothing it was perfect",2024-11-10,10.0,8.6,11045,0,1,From start to finish our stay was perfect we were well looked after and had a fabulous room with a view Would definitel,4,9.0,8.7,8.8,8.9,7.9,9.5,2024-12-02,23,12,22,1.4,14.8,42.38,3.29579242122099,0.0307239627439515,4.807,5
23,23,lancaster-gate,"Great location
Great breakfast selection
Friendly staff
Quiet roomRoom was a bit tired
Old fashioned hairdryer in the bathroom",2022-10-30,8.0,7.7,14445,0,0,Very good,3,8.6,7.5,8.0,8.0,7.7,9.0,2024-12-02,2,19,764,0.3,11.81,52.19,3.27887749763259,0.0461004809920989,4.219,4
24,24,marlin-waterloo,NATge extra bed for kids was unfortunately not in good shape Like sleeping on the rocky mountains,2024-07-14,8.0,8.1,10695,0,0,Overall great place to stay,4,8.5,8.2,8.2,8.2,7.6,9.3,2024-12-02,5,17,141,0.0999999999999996,9.15,71.14,3.31087736483957,0.0079651791063817,3.714,4
25,25,astorcourthotel,location staffwet towels,2022-02-28,6.0,7.9,7132,0,0,great weekend,3,8.8,7.8,8.0,8.0,7.5,8.9,2024-12-02,2,3,1008,1.9,14.53,34.59,3.3073932571822,0.0135986090832866,4.015,4
26,26,zedwell-trocaderor,"Clean  modern, nice helpful staff, easy check in  out, close to tourist attractions, despite being right in the middle off london  in the middle off the hotel never heard a soundBit of a maze finding the room",2022-08-30,7.0,7.4,39497,0,0,Good,0,8.1,7.2,7.9,7.9,7.5,9.6,2024-12-02,1,37,825,0.4,15.88,50.84,3.30922664092157,0.016946153352822,4.3,4
27,27,keystone-house," The room was very small, no space for luggage
 bed was awfully worn out
 rooms where very smelly, like worn shirts or something
 neighbours could be overheard, like they would be in the same room
 completely overpriced",2024-06-01,2.0,7.9,5933,0,0,Never again,3,8.5,7.9,8.3,8.1,8.1,9.4,2024-12-02,2,37,184,5.9,15.88,67.76,3.31619246026531,0.0008739331824456,1.654,1
28,28,studios2let,Excellent location,2023-10-27,9.0,7.6,11670,0,0,Would stay here again,3,8.3,7.5,7.9,7.8,7.6,9.3,2024-12-02,4,2,402,1.4,40.8,-49.0,3.30850123060059,0.0126325982243253,4.665,5
